origin_stem_word,counterfactual_stem_word,count,origin_word,counterfactual_word
plate,box,11,plate,boxes
woman,boy,11,woman,boys
flower,rose,11,flower,roses
boy,guy,10,boys,guys
citi,school,10,city,school
guy,peopl,10,guys,people
clock,sign,10,clock,sign
babi,child,10,baby,childs
girl,child,10,girl,childs
road,build,10,road,building
ramp,build,10,ramp,building
bu,train,10,bus,train
field,street,10,field,street
fruit,food,10,fruit,food
toilet,chair,10,toilets,chairs
light,sign,10,lights,sign
hors,bike,9,horse,bike
bike,motorcycl,9,bike,motorcycle
desk,tabl,9,desk,table
hat,suit,9,hat,suit
wine,water,9,wine,water
tree,hous,9,tree,house
broccoli,rice,9,broccoli,rice
bowl,box,9,bowl,boxes
bed,couch,9,bed,couch
mirror,window,9,mirror,window
children,boy,9,children,boys
food,rice,9,food,rice
window,tabl,9,window,table
board,bike,9,board,bike
bed,sofa,9,bed,sofa
counter,tabl,9,counter,table
basebal,soccer,9,baseball,soccer
plate,tray,9,plate,tray
jacket,dress,9,jacket,dress
plate,stick,9,plate,stick
tour,school,9,tour,school
broccoli,veget,9,broccoli,vegetables
kitchen,restaur,9,kitchen,restaurant
comput,bag,9,computer,bag
field,boat,9,field,boat
tree,water,9,tree,water
citi,park,9,city,park
field,tree,9,field,tree
pictur,paint,9,picture,paint
car,peopl,8,car,people
toddler,boy,8,toddler,boys
dog,bear,8,dogs,bears
child,woman,8,childs,woman
soccer,footbal,8,soccer,football
kitchen,hous,8,kitchen,house
truck,van,8,truck,van
sandwich,burger,8,sandwich,burger
tabl,tree,8,table,tree
bowl,basket,8,bowl,baskets
dog,person,8,dogs,person
male,tabl,8,males,table
food,chicken,8,food,chicken
window,tree,8,window,tree
beach,boat,8,beach,boat
build,wall,8,building,wall
park,field,8,park,field
bowl,jar,8,bowl,jar
women,person,8,Women,person
grass,corn,8,grass,corn
man,player,8,man,player
beer,water,8,beer,water
number,pair,8,number,pair
snow,street,8,snow,street
peopl,woman,8,people,woman
lot,garag,7,lots,garage
laptop,tv,7,laptop,TV
sheep,cow,7,sheep,cows
person,student,7,person,students
sheep,goat,7,sheep,goats
basebal,cricket,7,baseball,cricket
road,track,7,road,tracks
food,pickup,7,food,pickup
babi,girl,7,baby,girl
kid,peopl,7,kids,people
road,freeway,7,road,freeway
flower,water,7,flower,water
tabl,shelf,7,table,shelf
coupl,famili,7,couple,family
train,vehicl,7,train,vehicles
child,person,7,childs,person
tabl,restaur,7,table,restaurant
street,park,7,street,park
beach,lake,7,beach,lake
cattl,buffalo,7,cattle,buffalo
beach,hill,7,beach,hill
skier,man,7,Skiers,man
chair,couch,7,chairs,couch
control,camera,7,control,camera
bunch,pair,7,bunch,pair
dog,bird,7,dogs,bird
car,tree,7,car,tree
car,hous,7,car,house
meter,space,7,meter,space
air,water,7,air,water
men,kid,7,men,kids
girl,peopl,7,girl,people
girl,man,7,girl,man
shirt,dress,7,shirt,dress
boy,men,7,boys,men
shirt,suit,7,shirt,suit
toilet,man,7,toilets,man
bowl,bag,7,bowl,bag
tie,hat,7,tie,hat
tenni,ball,7,tennis,ball
cloudi,night,7,cloudy,night
river,road,7,river,road
citi,tour,6,city,tour
milk,water,6,milk,water
chair,tabl,6,chairs,table
sign,lamp,6,sign,lamp
ladi,man,6,ladies,man
tabl,desk,6,table,desk
fenc,hous,6,fence,house
tree,fenc,6,tree,fence
man,photograph,6,man,photograph
plane,car,6,plane,car
wave,boat,6,wave,boat
zebra,lion,6,zebras,lion
street,beach,6,street,beach
bird,hawk,6,bird,hawk
woman,waitress,6,woman,waitress
water,forest,6,water,forest
station,tunnel,6,station,tunnel
ground,road,6,ground,road
window,door,6,window,door
anim,rabbit,6,animal,rabbit
women,men,6,Women,men
build,tower,6,building,tower
orang,adult,6,orange,adults
laptop,window,6,laptop,window
beach,ground,6,beach,ground
road,car,6,road,car
sandwich,meal,6,sandwich,meal
pizza,dinner,6,pizza,dinner
sidewalk,road,6,sidewalk,road
tabl,tray,6,table,tray
sheep,anim,6,sheep,animal
cake,food,6,cake,food
suitcas,bag,6,suitcase,bag
slope,street,6,slope,street
passeng,fighter,6,PASSENGER,fighter
fire,water,6,fire,water
road,hous,6,road,house
dirt,grass,6,dirt,grass
street,bu,6,street,bus
famili,group,6,family,group
desktop,tablet,6,desktop,tablet
dog,hors,6,dogs,horse
jeep,car,6,jeep,car
boy,child,6,boys,childs
statu,pictur,6,statue,picture
field,footbal,6,field,football
man,student,6,man,students
chair,tv,6,chairs,TV
field,zoo,6,field,zoo
bear,man,6,bears,man
grass,tree,6,grass,tree
light,cone,6,lights,cone
woman,child,6,woman,childs
plane,jet,6,plane,jet
park,stone,6,park,stone
desk,chair,6,desk,chairs
televis,bed,5,television,bed
play,sit,5,playing,sits
tree,wall,5,tree,wall
furnitur,book,5,furniture,book
hill,mountain,5,hill,mountain
comput,chair,5,computer,chairs
chair,book,5,chairs,book
grass,road,5,grass,road
field,lawn,5,field,lawn
bat,ball,5,bat,ball
kitten,cat,5,kitten,cat
food,pasta,5,food,pasta
door,tree,5,door,tree
track,hill,5,tracks,hill
kid,boy,5,kids,boys
hors,car,5,horse,car
jacket,suit,5,jacket,suit
couch,fireplac,5,couch,fireplace
plate,burger,5,plate,burger
jacket,shirt,5,jacket,shirt
build,window,5,building,window
umbrella,orang,5,umbrella,orange
dog,girl,5,dogs,girl
train,truck,5,train,truck
air,street,5,air,street
food,fruit,5,food,fruit
keyboard,tabl,5,keyboard,table
tree,build,5,tree,building
clock,tower,5,clock,tower
men,women,5,men,Women
wave,bike,5,wave,bike
citi,manhattan,5,city,Manhattan
men,children,5,men,children
wave,beach,5,wave,beach
kitchen,bedroom,5,kitchen,bedroom
girl,person,5,girl,person
sink,tabl,5,sink,table
kitchen,garag,5,kitchen,garage
televis,window,5,television,window
ocean,citi,5,ocean,city
carriag,wagon,5,carriage,wagon
player,ball,5,player,ball
suit,glass,5,suit,glass
ladi,peopl,5,ladies,people
board,machin,5,board,machine
wall,tree,5,wall,tree
forest,field,5,forest,field
dark,background,5,dark,background
peopl,offic,5,people,office
hat,beard,5,hat,beard
cow,sheep,5,cows,sheep
tulip,flower,5,tulips,flower
box,bag,5,boxes,bag
fenc,car,5,fence,car
video,comput,5,video,computer
man,chef,5,man,chef
airplan,jet,5,airplane,jet
adult,men,5,adults,men
person,babi,5,person,baby
bird,duck,5,bird,ducks
stand,sit,5,stands,sits
water,snow,5,water,snow
male,boy,5,males,boys
ramp,hill,5,ramp,hill
comput,tv,5,computer,TV
lot,driveway,5,lots,driveway
guy,kid,5,guys,kids
bicycl,motorcycl,5,bicycle,motorcycle
desk,lab,5,desk,lab
cat,cat,5,cat,cat
tie,pant,5,tie,pants
street,road,5,street,road
river,pond,5,river,pond
zoo,field,5,zoo,field
hous,build,5,house,building
group,famili,5,group,family
build,fenc,5,building,fence
tie,shirt,5,tie,shirt
bike,vehicl,5,bike,vehicles
hat,tie,5,hat,tie
sidewalk,beach,5,sidewalk,beach
fork,salad,5,fork,salad
photo,selfi,5,photo,selfie
pizza,meat,5,pizza,meat
plate,bowl,5,plate,bowl
surfer,man,5,surfers,man
beach,road,5,beach,road
herd,coupl,5,herd,couple
blue,night,5,blue,night
grass,hay,5,grass,hay
field,car,5,field,car
laptop,chair,5,laptop,chairs
plate,board,5,plate,board
bed,desk,5,bed,desk
glove,bat,5,glove,bat
bathroom,hous,5,bathroom,house
cake,dress,5,cake,dress
hors,cow,5,horse,cows
boy,peopl,5,boys,people
laptop,tabl,5,laptop,table
women,guy,5,Women,guys
man,hors,5,man,horse
cell,camera,5,cell,camera
buse,car,5,buses,car
road,sidewalk,5,road,sidewalk
toilet,mirror,5,toilets,mirror
cow,buffalo,5,cows,buffalo
street,field,5,street,field
monitor,mous,4,monitor,mouse
hors,deer,4,horse,deer
build,room,4,building,room
birthday,cowboy,4,birthday,cowboy
desk,room,4,desk,room
car,light,4,car,lights
girl,player,4,girl,player
water,park,4,water,park
airplan,bird,4,airplane,bird
blanket,bed,4,blanket,bed
bu,van,4,bus,van
bridg,track,4,bridge,tracks
zebra,eleph,4,zebras,elephant
beach,street,4,beach,street
player,kid,4,player,kids
player,player,4,player,player
citi,street,4,city,street
pole,build,4,pole,building
camera,sun,4,camera,sun
pole,fenc,4,pole,fence
clock,build,4,clock,building
mountain,tree,4,mountain,tree
street,track,4,street,tracks
bed,door,4,bed,door
hat,dress,4,hat,dress
cake,tabl,4,cake,table
rock,grass,4,rock,grass
street,room,4,street,room
skier,peopl,4,Skiers,people
street,neon,4,street,neon
bed,bench,4,bed,bench
skier,men,4,Skiers,men
bed,blanket,4,bed,blanket
water,beach,4,water,beach
cloudi,summer,4,cloudy,summer
wall,fenc,4,wall,fence
yellow,blue,4,yellow,blue
water,ice,4,water,ice
rock,branch,4,rock,branch
room,classroom,4,room,classroom
citi,london,4,city,London
game,yanke,4,game,Yankees
plate,knife,4,plate,knife
beach,dock,4,beach,dock
food,lunch,4,food,lunch
dessert,food,4,dessert,food
car,car,4,car,car
mountain,road,4,mountain,road
bench,structur,4,bench,structure
sink,toilet,4,sink,toilets
car,bu,4,car,bus
citi,river,4,city,river
cake,pie,4,cake,pie
road,river,4,road,river
street,tree,4,street,tree
skateboard,bike,4,skateboarder,bike
herd,famili,4,herd,family
clock,cross,4,clock,cross
grass,flower,4,grass,flower
water,sand,4,water,sand
grass,park,4,grass,park
women,boy,4,Women,boys
park,build,4,park,building
tray,plate,4,tray,plate
live,confer,4,living,conference
window,fireplac,4,window,fireplace
coupl,row,4,couple,row
street,freeway,4,street,freeway
man,peopl,4,man,people
shirt,hat,4,shirt,hat
laptop,desk,4,laptop,desk
banana,appl,4,banana,apple
phone,tv,4,phone,TV
peopl,friend,4,people,friends
coupl,lot,4,couple,lots
photo,paint,4,photo,paint
lake,river,4,lake,river
street,church,4,street,church
blanket,couch,4,blanket,couch
door,window,4,door,window
pan,plate,4,pans,plate
boat,hous,4,boat,house
banana,grape,4,banana,grapes
chair,box,4,chairs,boxes
pastri,food,4,pastry,food
sidewalk,build,4,sidewalk,building
person,dog,4,person,dogs
group,line,4,group,lines
tabl,bed,4,table,bed
cut,chicken,4,cuts,chicken
peopl,famili,4,people,family
cycl,vehicl,4,cycling,vehicles
peopl,light,4,people,lights
peopl,man,4,people,man
street,dollar,4,street,dollar
tabl,ground,4,table,ground
fruit,flower,4,fruit,flower
boat,cano,4,boat,canoe
man,car,4,man,car
shore,river,4,shore,river
river,lake,4,river,lake
wine,beer,4,wine,beer
cow,goat,4,cows,goats
area,park,4,area,park
woman,tabl,4,woman,table
fenc,gate,4,fence,gate
boat,car,4,boat,car
clock,offic,4,clock,office
cup,box,4,cups,boxes
sidewalk,bench,4,sidewalk,bench
boat,tree,4,boat,tree
person,cat,4,person,cat
bench,fenc,4,bench,fence
market,supermarket,4,market,supermarket
wii,game,4,wii,game
refriger,tree,4,refrigerator,tree
umbrella,tabl,4,umbrella,table
woman,chef,4,woman,chef
dog,kid,4,dogs,kids
tree,car,4,tree,car
silver,polic,4,silver,police
coffe,tea,4,coffee,tea
couch,carpet,4,couch,carpet
suit,hat,4,suit,hat
remot,book,4,remote,book
mirror,toilet,4,mirror,toilets
tabl,tv,4,table,TV
game,card,4,game,cards
pizza,pie,4,pizza,pie
dog,child,4,dogs,childs
pizza,tomato,4,pizza,tomatoes
bed,room,4,bed,room
tenni,basebal,4,tennis,baseball
floor,ground,4,floor,ground
plane,bird,4,plane,bird
plane,helicopt,4,plane,helicopter
bathroom,bedroom,4,bathroom,bedroom
floor,tabl,4,floor,table
clock,door,4,clock,door
child,dog,4,childs,dogs
sign,tree,4,sign,tree
road,neon,4,road,neon
meter,spot,4,meter,spot
surfboard,boat,4,surfboard,boat
sidewalk,tree,4,sidewalk,tree
slope,lift,4,slope,lift
meal,sandwich,4,meal,sandwich
bunch,coupl,4,bunch,couple
televis,comput,4,television,computer
train,wagon,4,train,wagon
sunset,night,4,sunset,night
anim,peopl,4,animal,people
kitchen,bathroom,4,kitchen,bathroom
kitchen,apart,4,kitchen,apartment
pie,box,4,pie,boxes
dog,woman,4,dogs,woman
vehicl,peopl,4,vehicles,people
anim,cow,4,animal,cows
tree,bush,4,tree,bushes
grass,stage,4,grass,stage
carriag,cart,4,carriage,cart
friend,kid,4,friends,kids
wave,shark,4,wave,shark
basebal,basketbal,4,baseball,basketball
traffic,street,4,traffic,street
child,babi,4,childs,baby
woman,peopl,4,woman,people
trail,road,3,trail,road
broccoli,meat,3,broccoli,meat
commut,school,3,Commuters,school
fork,knife,3,fork,knife
river,hill,3,river,hill
road,bridg,3,road,bridge
river,field,3,river,field
traffic,london,3,traffic,London
frisbe,toy,3,Frisbee,toy
rock,dirt,3,rock,dirt
river,beach,3,river,beach
stove,tabl,3,stove,table
frisbe,ball,3,Frisbee,ball
broccoli,sauc,3,broccoli,sauce
comput,lamp,3,computer,lamp
veget,rice,3,vegetables,rice
hat,shirt,3,hat,shirt
step,rock,3,steps,rock
shirt,coat,3,shirt,coat
desk,bed,3,desk,bed
book,magazin,3,book,magazines
sidewalk,hous,3,sidewalk,house
sidewalk,ground,3,sidewalk,ground
book,cloth,3,book,clothes
sidewalk,bicycl,3,sidewalk,bicycle
day,night,3,day,night
boat,truck,3,boat,truck
boat,train,3,boat,train
eleph,dog,3,elephant,dogs
curtain,door,3,curtains,door
boat,ship,3,boat,ship
branch,rock,3,branch,rock
school,citi,3,school,city
shelf,tabl,3,shelf,table
soccer,tenni,3,soccer,tennis
sheep,hors,3,sheep,horse
sheep,dog,3,sheep,dogs
soda,beer,3,soda,beer
branch,stump,3,branch,stump
boat,bodi,3,boat,body
bread,food,3,Bread,food
tub,towel,3,tub,towel
scissor,glass,3,scissors,glass
cow,dog,3,cows,dogs
school,passeng,3,school,PASSENGER
sidewalk,tabl,3,sidewalk,table
sidewalk,train,3,sidewalk,train
door,hous,3,door,house
book,tree,3,book,tree
dirt,corn,3,dirt,corn
dirt,mountain,3,dirt,mountain
sky,blue,3,sky,blue
disc,ball,3,disc,ball
disc,stick,3,disc,stick
box,peopl,3,boxes,people
dine,live,3,dining,living
tree,mountain,3,tree,mountain
sit,sleep,3,sits,sleep
bowl,plate,3,bowl,plate
bowl,glass,3,bowl,glass
bowl,contain,3,bowl,container
box,slice,3,boxes,slices
box,tabl,3,boxes,table
desk,tree,3,desk,tree
sink,bathroom,3,sink,bathroom
tree,track,3,tree,tracks
dog,cow,3,dogs,cows
dog,deer,3,dogs,deer
dog,dog,3,dogs,dogs
trick,flip,3,tricks,flip
dog,men,3,dogs,men
tree,bridg,3,tree,bridge
trio,pair,3,trio,pair
sign,flag,3,sign,flag
fenc,pole,3,fence,pole
fenc,river,3,fence,river
steel,dirt,3,steel,dirt
room,build,3,room,building
floor,bench,3,floor,bench
stand,lie,3,stands,lying
flower,grass,3,flower,grass
station,bu,3,station,bus
station,car,3,station,car
util,garbag,3,utility,garbage
flower,tree,3,flower,tree
birthday,wed,3,birthday,wedding
station,man,3,station,man
room,hallway,3,room,hallway
room,garag,3,room,garage
food,egg,3,food,eggs
food,item,3,food,items
fenc,road,3,fence,road
contain,cup,3,container,cups
bird,owl,3,bird,owl
bird,man,3,bird,man
food,someth,3,food,something
food,spaghetti,3,food,spaghetti
food,thing,3,food,things
broccoli,bean,3,broccoli,bean
bird,crow,3,bird,crows
broccoli,chees,3,broccoli,cheese
broccoli,food,3,broccoli,food
forest,hous,3,forest,house
forest,park,3,forest,park
sail,fish,3,sail,fish
couch,blanket,3,couch,blanket
flag,tree,3,flag,tree
umbrella,tree,3,umbrella,tree
tv,bed,3,TV,bed
tv,comput,3,TV,computer
ferri,boat,3,ferry,boat
field,barn,3,field,barn
field,cage,3,field,cage
sauc,rice,3,sauce,rice
field,circl,3,field,circle
transit,school,3,transit,school
coupl,man,3,couple,man
tv,tv,3,TV,TV
coupl,flock,3,couple,flock
field,lake,3,field,lake
sandwich,slice,3,sandwich,slices
brick,garden,3,brick,garden
giraff,anim,3,giraffe,animal
field,mound,3,field,mound
sandwich,salad,3,sandwich,salad
umbrella,chair,3,umbrella,chairs
field,wall,3,field,wall
sand,water,3,sand,water
spot,garag,3,spot,garage
couch,tv,3,couch,TV
couch,floor,3,couch,floor
umbrella,scarf,3,umbrella,scarf
fireplac,tv,3,fireplace,TV
bu,hous,3,bus,house
tree,ground,3,tree,ground
surfer,peopl,3,surfers,people
keyboard,mous,3,keyboard,mouse
jet,plane,3,jet,plane
basebal,hockey,3,baseball,hockey
jetlin,ufo,3,jetliner,UFO
toilet,box,3,toilets,boxes
anim,tree,3,animal,tree
paint,pictur,3,paint,picture
wood,paper,3,wood,paper
wood,grass,3,wood,grass
keyboard,bed,3,keyboard,bed
pillow,blanket,3,pillow,blanket
pan,box,3,pans,boxes
keyboard,monitor,3,keyboard,monitor
kid,guy,3,kids,guys
toilet,bowl,3,toilets,bowl
kid,men,3,kids,men
teeth,hair,3,teeth,hair
kid,teenag,3,kids,teenager
pictur,video,3,picture,video
pan,tray,3,pans,tray
bar,tabl,3,bar,table
teenag,kid,3,teenager,kids
bunch,basket,3,bunch,baskets
teenag,boy,3,teenager,boys
chair,fireplac,3,chairs,fireplace
pictur,draw,3,picture,drawing
kite,balloon,3,kite,balloons
suit,shirt,3,suit,shirt
basebal,school,3,baseball,school
televis,tabl,3,television,table
plant,flower,3,plant,flower
water,jet,3,water,jet
plate,cake,3,plate,cake
build,pond,3,building,pond
batter,kid,3,batter,kids
plate,bun,3,plate,bun
orang,offic,3,orange,office
bathroom,restaur,3,bathroom,restaurant
orang,rice,3,orange,rice
water,road,3,water,road
hose,pistol,3,hose,pistol
build,school,3,building,school
plant,tree,3,plant,tree
orang,steam,3,orange,Steam
televis,couch,3,television,couch
suit,book,3,suit,book
wood,water,3,wood,water
meter,area,3,meter,area
imag,video,3,images,video
other,children,3,others,children
men,player,3,men,player
men,man,3,men,man
water,wine,3,water,wine
men,friend,3,men,friends
water,wood,3,water,wood
pizza,meal,3,pizza,meal
wave,bicycl,3,wave,bicycle
carrot,rice,3,carrot,rice
women,player,3,Women,player
kite,tree,3,kite,tree
peopl,protest,3,people,protesters
woman,student,3,woman,students
cattl,goat,3,cattle,goats
man,cat,3,man,cat
toilet,sink,3,toilets,sink
leav,water,3,leaves,water
ledg,bench,3,ledge,bench
wine,champagn,3,wine,champagne
parti,bar,3,party,bar
peopl,someon,3,people,someone
toilet,stool,3,toilets,stools
woman,parent,3,woman,parent
tape,paper,3,tape,paper
passeng,freight,3,PASSENGER,freight
wild,desert,3,wild,desert
woman,hors,3,woman,horse
passeng,steam,3,PASSENGER,Steam
tabl,plate,3,table,plate
woman,blond,3,woman,blond
babi,man,3,baby,man
pen,field,3,pen,field
luggag,sleep,3,luggage,sleep
cat,man,3,cat,man
lone,babi,3,lone,baby
lot,coupl,3,lots,couple
babi,boy,3,baby,boys
path,hill,3,path,hill
toilet,shower,3,toilets,shower
tabl,box,3,table,boxes
person,chair,3,person,chairs
tabl,bench,3,table,bench
kitten,dog,3,kitten,dogs
chair,blanket,3,chairs,blanket
chair,bench,3,chairs,bench
man,mother,3,man,mother
man,men,3,man,men
banana,chees,3,banana,cheese
photo,draw,3,photo,drawing
banana,berri,3,banana,berries
man,hand,3,man,hands
laptop,bed,3,laptop,bed
park,forest,3,park,forest
park,garden,3,park,garden
laptop,bench,3,laptop,bench
sweater,dress,3,sweater,dress
person,waiter,3,person,waiter
carrot,tomato,3,carrot,tomatoes
laptop,keyboard,3,laptop,keyboard
laptop,monitor,3,laptop,monitor
ball,tree,3,ball,tree
laptop,mous,3,laptop,mouse
cement,freeway,3,cement,freeway
man,dog,3,man,dogs
window,hous,3,window,house
window,kitchen,3,window,kitchen
window,mirror,3,window,mirror
bay,river,3,bay,river
wooden,picnic,3,wooden,picnic
grass,water,3,grass,water
zoo,desert,3,zoo,desert
motor,dirt,3,Motor,dirt
ground,beach,3,ground,beach
ground,floor,3,ground,floor
ocean,caribbean,3,ocean,Caribbean
bed,ground,3,bed,ground
cake,flower,3,cake,flower
ocean,park,3,ocean,park
bed,floor,3,bed,floor
cake,day,3,cake,day
ground,tabl,3,ground,table
refriger,car,3,refrigerator,car
street,lot,3,street,lots
wall,hous,3,wall,house
bed,comput,3,bed,computer
potato,veget,3,potatoes,vegetables
girl,women,3,girl,Women
clock,brick,3,clock,brick
street,protest,3,street,protesters
grass,beach,3,grass,beach
adult,eleph,3,adults,elephant
grass,brush,3,grass,brush
motorcycl,hors,3,motorcycle,horse
grass,rain,3,grass,rain
termin,stop,3,terminal,Stop
walk,sit,3,walk,sits
air,cloud,3,air,clouds
motorcycl,truck,3,motorcycle,truck
racquet,gun,3,racquet,guns
street,ground,3,street,ground
number,coupl,3,number,couple
racket,sign,3,racket,sign
grass,rice,3,grass,rice
wall,car,3,wall,car
clock,glass,3,clock,glass
racket,gun,3,racket,guns
build,barn,3,building,barn
motorcycl,peopl,3,motorcycle,people
racket,bat,3,racket,bat
mous,monitor,3,mouse,monitor
bed,tent,3,bed,tent
citi,field,3,city,field
mous,keyboard,3,mouse,keyboard
monitor,tv,3,monitor,TV
helmet,mask,3,helmet,mask
beach,lawn,3,beach,lawn
bench,build,3,bench,building
mustard,chees,3,mustard,cheese
cake,bread,3,cake,Bread
orang,blue,3,orange,blue
water,build,3,water,building
street,wall,3,street,wall
player,bat,3,player,bat
water,field,3,water,field
girl,guy,3,girl,guys
mushroom,rice,3,mushrooms,rice
car,train,3,car,train
girl,children,3,girl,children
track,platform,3,tracks,platform
orang,distanc,3,orange,distance
night,sunset,3,night,sunset
plate,rice,3,plate,rice
televis,toilet,3,television,toilets
honey,food,3,honey,food
citi,houston,3,city,Houston
orang,gold,3,orange,gold
street,trail,3,street,trail
track,highway,3,tracks,highway
harbor,lake,3,harbor,lake
street,build,3,street,building
offic,apart,3,office,apartment
airplan,fighter,3,airplane,fighter
bench,car,3,bench,car
street,skylin,3,street,skyline
airplan,helicopt,3,airplane,helicopter
car,shop,3,car,shop
policeman,man,3,policeman,man
citi,tunnel,3,city,tunnel
build,hill,3,building,hill
girl,men,3,girl,men
pole,tree,3,pole,tree
airplan,object,3,airplane,object
airplan,spaceship,3,airplane,spaceship
hay,food,3,hay,food
water,air,3,water,air
street,traffic,3,street,traffic
beach,sky,3,beach,sky
cycl,home,2,cycling,home
cart,car,2,cart,car
camera,sky,2,camera,sky
camera,tv,2,camera,TV
tie,jean,2,tie,jeans
team,player,2,team,player
camera,hous,2,camera,house
tea,coffe,2,tea,coffee
tie,hair,2,tie,hair
skii,top,2,skiies,top
case,box,2,casing,boxes
sky,cloud,2,sky,clouds
cat,anim,2,cat,animal
cat,bird,2,cat,bird
tabl,woman,2,table,woman
curb,tree,2,curb,tree
dirt,backyard,2,dirt,backyard
tie,mask,2,tie,mask
curb,sidewalk,2,curb,sidewalk
tie,beard,2,tie,beard
car,woman,2,car,woman
ticket,food,2,tickets,food
desk,sofa,2,desk,sofa
desk,screen,2,desk,screen
televis,camera,2,television,camera
televis,chair,2,television,chairs
carrot,banana,2,carrot,banana
tenni,cricket,2,tennis,cricket
desk,laptop,2,desk,laptop
televis,desk,2,television,desk
slope,beach,2,slope,beach
slope,lake,2,slope,lake
desk,box,2,desk,boxes
tabl,wall,2,table,wall
car,van,2,car,van
televis,lamp,2,television,lamp
carpet,bed,2,carpet,bed
televis,screen,2,television,screen
sleep,play,2,sleep,playing
carrot,mushroom,2,carrot,mushrooms
candl,fire,2,candle,fire
tenni,hockey,2,tennis,hockey
candl,flower,2,candle,flower
dine,coffe,2,dining,coffee
snow,lake,2,snow,lake
sky,foot,2,sky,foot
day,storm,2,day,storm
decor,book,2,decorations,book
decor,egg,2,decorations,eggs
desert,driveway,2,desert,driveway
car,boat,2,car,boat
car,buse,2,car,buses
cart,box,2,cart,boxes
devic,chair,2,devices,chairs
carrot,veget,2,carrot,vegetables
dessert,cake,2,dessert,cake
car,dog,2,car,dogs
cat,chair,2,cat,chairs
cloudi,blue,2,cloudy,blue
cat,desk,2,cat,desk
statu,person,2,statue,person
street,hous,2,street,house
stew,soup,2,stew,Soup
comput,stuf,2,computer,stuffed
clock,column,2,clock,columns
street,line,2,street,lines
comput,tabl,2,computer,table
