original_stem_word,counterfactual_stem_word,count
train,vehicl,5
track,platform,5
comput,tv,5
man,photograph,5
build,church,5
man,peopl,5
bowl,box,5
road,track,5
bed,room,5
citi,tour,5
coupl,famili,5
hors,car,5
hors,bike,5
food,lunch,5
sink,tabl,5
zebra,eleph,5
plate,bowl,5
build,tower,5
monitor,mous,5
girl,boy,5
motorcycl,vehicl,5
street,road,5
basebal,footbal,5
sky,blue,5
grass,corn,5
sign,lamp,5
box,bag,5
kid,girl,5
surfer,man,5
bed,couch,5
field,zoo,5
mirror,window,5
clock,door,5
person,babi,5
beach,boat,5
hous,build,5
stop,neon,5
tenni,basketbal,5
lake,river,5
park,garden,4
build,wall,4
tenni,volleybal,4
other,children,4
paint,pictur,4
bird,dog,4
tenni,soccer,4
park,field,4
street,church,4
sidewalk,road,4
build,bridg,4
bear,pig,4
boy,men,4
boy,girl,4
pizza,sandwich,4
street,lot,4
ocean,caribbean,4
boy,child,4
pie,box,4
plate,board,4
phone,tv,4
stove,tabl,4
plate,burger,4
suit,glass,4
store,park,4
plate,rice,4
sunset,night,4
player,player,4
peopl,polic,4
peopl,passeng,4
pole,build,4
bed,sofa,4
rider,man,4
road,day,4
blanket,bed,4
bench,tabl,4
couch,fireplac,4
skier,man,4
girl,player,4
laptop,keyboard,4
fenc,field,4
train,bu,4
camera,sun,4
woman,waitress,4
child,person,4
fenc,car,4
grass,hay,4
grass,park,4
car,light,4
grass,snow,4
grass,stage,4
laptop,tv,4
car,train,4
trick,jump,4
girl,child,4
laptop,chair,4
carriag,cart,4
grass,street,4
air,water,4
jacket,dress,4
group,famili,4
hose,pistol,4
chair,couch,4
cell,camera,4
herd,famili,4
helmet,mask,4
eye,head,4
guy,peopl,4
children,boy,4
wall,hous,4
cut,chicken,4
food,pickup,4
window,tabl,4
toilet,mirror,4
control,consol,4
motorcycl,bicycl,4
window,case,4
desk,chair,4
wave,boat,4
field,footbal,4
citi,street,4
milk,water,4
skier,men,4
microwav,tabl,4
mous,monitor,4
adult,men,4
coupl,lot,4
meter,space,4
couch,bed,4
men,women,4
number,coupl,4
wood,coffe,4
clock,sign,4
rider,men,3
field,beach,3
river,beach,3
rise,school,3
bowl,basket,3
famili,group,3
restaur,build,3
fenc,road,3
poni,hors,3
cloudi,summer,3
pole,fenc,3
racket,golf,3
pole,pole,3
fenc,lake,3
pole,tree,3
river,road,3
fenc,gate,3
door,hous,3
road,tunnel,3
boat,car,3
road,beach,3
sidewalk,bench,3
dirt,mountain,3
sidewalk,build,3
dirt,corn,3
sidewalk,hous,3
desk,screen,3
sidewalk,street,3
sidewalk,tree,3
sign,banner,3
bird,paper,3
desk,room,3
control,camera,3
sink,bathroom,3
sink,chair,3
sink,kitchen,3
cow,goat,3
sit,sleep,3
short,jean,3
shorelin,river,3
shore,river,3
clock,water,3
road,bridg,3
road,bu,3
road,build,3
dog,men,3
comput,bag,3
road,neon,3
display,sale,3
board,bike,3
dish,bag,3
rock,hous,3
room,classroom,3
room,hallway,3
room,hous,3
sandwich,burger,3
school,school,3
sheep,anim,3
play,sit,3
bunch,coupl,3
plate,tabl,3
clock,bell,3
men,kid,3
build,barn,3
pen,calcul,3
men,friend,3
man,waiter,3
bu,van,3
man,student,3
man,men,3
man,hand,3
peopl,famili,3
man,chef,3
male,tabl,3
male,men,3
bu,hous,3
lot,driveway,3
meter,area,3
parti,bar,3
meter,spot,3
motorcycl,truck,3
orang,adult,3
orang,male,3
orang,offic,3
mustard,chees,3
mous,keyboard,3
mountain,tree,3
packag,bag,3
park,build,3
build,polic,3
pan,tray,3
cabinet,stove,3
monitor,keyboard,3
moment,top,3
cafe,restaur,3
leav,water,3
leav,appl,3
brush,grass,3
fruit,food,3
pizza,pie,3
plane,car,3
plane,helicopt,3
grass,brush,3
bunch,basket,3
furnitur,coffe,3
fork,salad,3
chair,tree,3
citi,houston,3
citi,park,3
food,veget,3
plate,bun,3
flower,rose,3
floor,bench,3
chair,tv,3
chair,tabl,3
kitchen,garag,3
catcher,soccer,3
kid,boy,3
keyboard,mous,3
keyboard,monitor,3
jeep,car,3
person,cat,3
imag,video,3
hay,food,3
pictur,video,3
hat,tie,3
photo,draw,3
photo,selfi,3
hand,head,3
pictur,reflect,3
pictur,varieti,3
cage,room,3
zoo,park,3
skier,peopl,3
women,boy,3
bench,chair,3
woman,peopl,3
basebal,cricket,3
stop,street,3
woman,student,3
toilet,sink,3
wine,water,3
bed,blanket,3
bed,bed,3
water,pond,3
televis,chair,3
street,bu,3
bathroom,restaur,3
street,driveway,3
bear,dog,3
trick,flip,3
tree,station,3
water,manhattan,3
tabl,shelf,3
tabl,porch,3
spot,garag,3
televis,comput,3
water,ice,3
beach,lawn,3
airplan,object,3
statu,top,3
bat,ball,3
wine,beer,3
basket,tree,3
window,sink,3
babi,toddler,3
window,hous,3
station,tunnel,3
stand,walk,3
anim,rabbit,3
window,door,3
tie,shirt,3
babi,kid,3
tv,comput,3
stall,cabinet,3
tenni,ball,3
basebal,school,3
steam,diesel,3
squar,park,3
video,comput,3
umbrella,orang,3
tree,grass,3
street,tree,3
traffic,light,3
tree,car,3
tray,plate,3
yogurt,preserv,3
traffic,london,3
traffic,stop,3
tabl,bed,3
suitcas,bag,3
zoo,field,3
zoo,desert,3
zebra,hors,3
yard,field,3
tower,dome,3
beach,lake,3
bicycl,car,3
banana,appl,3
water,air,3
walk,street,2
hat,light,2
hat,suit,2
har,leash,2
hat,costum,2
walk,rode,2
hat,bat,2
glass,candl,2
hang,banana,2
handler,babi,2
glass,other,2
handl,spoon,2
hat,sunglass,2
helmet,bat,2
vacuum,seat,2
him,squash,2
wall,fire,2
wall,car,2
girl,suitcas,2
holder,box,2
walkway,boat,2
umbrella,tabl,2
hoe,bridg,2
hill,lawn,2
unit,consol,2
herd,polic,2
umbrella,tree,2
umpir,outfield,2
umpir,starter,2
helmet,car,2
handl,basket,2
heard,coupl,2
handl,pink,2
walk,drink,2
hand,woman,2
grass,hill,2
grin,stare,2
grey,babi,2
green,meat,2
green,grass,2
grass,grass,2
vintag,pink,2
graze,walk,2
vehicl,marker,2
vehicl,truck,2
vest,shirt,2
hand,lap,2
gravel,build,2
grass,left,2
view,render,2
grass,properti,2
grass,road,2
grass,tree,2
view,night,2
grass,sun,2
video,pictur,2
ground,sculptur,2
grass,gold,2
ground,street,2
waitress,fountain,2
van,car,2
hand,dog,2
hand,arm,2
hallway,coffe,2
vase,hors,2
wake,tri,2
glass,peopl,2
glass,plate,2
vase,jar,2
veget,chip,2
veget,letter,2
goat,pig,2
vehicl,drone,2
group,line,2
gold,tan,2
vehicl,fork,2
wake,beach,2
vehicl,helicopt,2
ground,tabl,2
ground,road,2
hous,book,2
umbrella,hand,2
laptop,book,2
ledg,pond,2
tree,fenc,2
leav,shelter,2
leash,train,2
lay,person,2
lay,hide,2
tree,laugh,2
laptop,mous,2
laptop,monitor,2
tree,stream,2
trick,royal,2
laptop,bed,2
tree,feet,2
laptop,ball,2
lap,tank,2
lane,shop,2
landscap,pastur,2
lamp,towel,2
trip,sleep,2
ladi,person,2
ladi,men,2
trot,walk,2
knife,tabl,2
knife,gun,2
lettuc,salad,2
lid,towel,2
knife,fork,2
luggag,ticket,2
man,catcher,2
man,cat,2
man,car,2
train,road,2
train,sport,2
train,truck,2
male,friend,2
male,boy,2
magnet,plastic,2
machin,vendor,2
lunchbox,menu,2
luggag,equip,2
tree,deer,2
luggag,coal,2
lot,road,2
achild,woman,2
transport,airport,2
transport,school,2
log,tree,2
log,meat,2
tray,bun,2
lip,nois,2
light,photo,2
life,imag,2
truck,engin,2
kitten,dog,2
hors,cow,2
if,hang,2
tv,camera,2
item,water,2
item,chip,2
ipod,umbrella,2
intersect,center,2
intersect,accid,2
tv,desk,2
institut,structur,2
insid,pen,2
tv,pictur,2
imag,piec,2
hut,field,2
jar,box,2
tv,screen,2
hotel,on,2
tye,hair,2
umbrella,door,2
hose,fire,2
hors,peopl,2
umbrella,fish,2
hors,lion,2
hors,hous,2
umbrella,flag,2
hors,deer,2
jacket,suit,2
tuxedo,woman,2
kite,towel,2
tub,shelf,2
truck,mine,2
kite,overhead,2
truck,trunk,2
kitchen,refriger,2
tub,fish,2
kitchen,field,2
kitchen,bathroom,2
kitchen,barn,2
kit,light,2
kiss,help,2
kid,men,2
tub,towel,2
jet,machin,2
kid,babi,2
keyboard,radio,2
tulip,flower,2
turtl,eye,2
keyboard,couch,2
junk,trash,2
jump,fight,2
joe,chicken,2
jockey,dog,2
jewelri,flower,2
jet,plane,2
wall,grandfath,2
garbag,curtain,2
wall,rope,2
wall,tabl,2
donut,chees,2
donut,cake,2
dolphin,boat,2
dog,snake,2
dog,person,2
dog,mous,2
woman,pizza,2
dog,kid,2
woman,racket,2
dog,dog,2
woman,shark,2
dog,car,2
dog,bird,2
display,offer,2
dispens,worker,2
dish,rice,2
dish,mirror,2
woman,videogam,2
disc,bird,2
woman,wall,2
dirt,forest,2
dirt,foreground,2
women,bench,2
dirt,car,2
dip,salad,2
door,door,2
woman,hors,2
door,traffic,2
drysuit,boat,2
woman,blond,2
enclosur,alley,2
eleph,lion,2
eleph,hors,2
eleph,bear,2
woman,daughter,2
elder,friend,2
edg,light,2
edg,half,2
eat,drink,2
ear,head,2
driveway,suburb,2
door,tree,2
drive,rd,2
drive,peopl,2
drink,wine,2
drink,stick,2
drink,bar,2
dress,tenni,2
dress,hijab,2
dragon,row,2
doughnut,bag,2
door,window,2
door,tv,2
dinner,box,2
diner,contact,2
dine,live,2
coupl,man,2
crib,seat,2
crib,bed,2
cow,woman,2
yard,plastic,2
yard,play,2
cow,calf,2
cow,buffalo,2
cover,rug,2
courtyard,park,2
court,beach,2
coupl,row,2
yellow,blue,2
cross,citi,2
coupl,line,2
countri,delhi,2
countri,barn,2
countertop,tabl,2
zoo,florida,2
counter,left,2
couch,wall,2
couch,tv,2
zoo,kenya,2
couch,tabl,2
couch,floor,2
crop,fruit,2
crosswalk,street,2
destin,protest,2
deck,structur,2
dessert,cake,2
women,other,2
desktop,ii,2
wood,background,2
wood,water,2
wooden,picnic,2
wool,ear,2
desk,keyboard,2
work,men,2
desk,center,2
desert,fri,2
deck,pari,2
crowd,pictur,2
cycl,home,2
curtain,wall,2
curtain,sink,2
yard,garden,2
curb,tabl,2
curb,sidewalk,2
yard,park,2
cup,wagon,2
cup,pot,2
cup,candl,2
cup,box,2
eye,tower,2
face,frog,2
face,nois,2
water,roadsid,2
formica,brick,2
forest,park,2
forest,hous,2
water,jet,2
forest,field,2
forest,crowd,2
water,park,2
footbal,soccer,2
foot,head,2
water,pool,2
water,river,2
food,sandwich,2
friend,dog,2
water,swim,2
water,trash,2
water,tree,2
water,yogurt,2
food,ham,2
food,cooki,2
wave,beach,2
food,chip,2
food,beer,2
wave,bike,2
wave,golf,2
freight,bullet,2
friend,guy,2
floor,ground,2
gather,parti,2
girl,guy,2
watch,clock,2
girl,friend,2
girl,doll,2
watch,man,2
water,beach,2
giraff,tree,2
giraff,lion,2
giraff,hors,2
gentleman,worker,2
gentleman,person,2
gate,field,2
friend,peopl,2
man,cook,2
gap,window,2
water,fire,2
futon,leather,2
water,grass,2
furnitur,book,2
fruit,hole,2
water,hous,2
frog,beak,2
frisbe,catch,2
friend,student,2
floor,sidewalk,2
wave,reflect,2
face,speaker,2
wire,other,2
field,car,2
field,cage,2
window,glass,2
field,boat,2
window,kitchen,2
field,barn,2
field,air,2
window,telescop,2
fenc,hill,2
wire,charger,2
fenc,distanc,2
fenc,bush,2
field,circl,2
fenc,brick,2
wire,tree,2
femal,friend,2
fedora,jean,2
featur,floor,2
farm,exercis,2
fan,microphon,2
fan,design,2
woman,baker,2
famili,flock,2
famili,bunch,2
field,chair,2
field,corner,2
floor,bed,2
field,vacat,2
floor,air,2
flock,famili,2
flip,trick,2
flip,samsung,2
wear,water,2
fire,toy,2
finger,teeth,2
finger,girl,2
finger,bullet,2
wheel,paint,2
field,wall,2
field,tree,2
window,fireplac,2
field,rock,2
windmil,tree,2
window,cage,2
field,pitch,2
field,pen,2
window,chair,2
field,mound,2
window,comput,2
field,lane,2
window,dog,2
field,forest,2
man,child,2
man,wife,2
train,river,2
profession,colleg,2
radio,oklahoma,2
racket,gun,2
statu,tree,2
racket,bat,2
rack,cabinet,2
race,fight,2
race,desert,2
quilt,blanket,2
quaint,california,2
puppet,doll,2
prop,passeng,2
produc,good,2
ramp,stage,2
power,rail,2
potato,rice,2
pot,towel,2
pot,kettl,2
post,rail,2
post,hous,2
post,box,2
post,background,2
port,forc,2
pork,meat,2
porch,boat,2
rail,rooftop,2
record,book,2
poni,sheep,2
rider,driver,2
stand,jump,2
stand,lie,2
stand,light,2
road,aisl,2
river,zoo,2
stare,smile,2
station,bridg,2
station,car,2
station,man,2
rim,roof,2
statu,desk,2
rider,children,2
refigerat,part,2
restroom,park,2
restaur,camera,2
statu,head,2
rest,storag,2
rest,live,2
repair,wood,2
remot,remot,2
remot,motion,2
remot,laptop,2
relief,wet,2
refriger,tree,2
popsicl,meal,2
step,block,2
stall,door,2
place,event,2
streen,alley,2
street,blue,2
plant,someon,2
plant,mirror,2
plant,flower,2
street,car,2
street,center,2
street,field,2
street,flash,2
street,landscap,2
plane,bird,2
pizza,steak,2
stove,plate,2
pizza,serv,2
street,lava,2
street,line,2
pizza,one,2
pizza,litter,2
street,park,2
pizza,dinner,2
pizza,cup,2
street,protest,2
pitcher,outfield,2
pitch,workout,2
plate,bread,2
store,tree,2
policeman,man,2
player,kid,2
step,hill,2
step,rock,2
pole,station,2
stew,soup,2
stick,sculptur,2
pole,car,2
stick,tree,2
stock,dress,2
plaza,street,2
plaza,field,2
stone,bedroom,2
stone,govern,2
plate,cake,2
platform,chair,2
plate,wine,2
stop,light,2
stop,man,2
stop,sign,2
stop,station,2
stop,traffic,2
plate,it,2
plate,grill,2
plate,counter,2
plate,chair,2
stall,short,2
road,car,2
pink,blue,2
sidewalk,patio,2
sign,gt,2
sign,color,2
sofa,fireplac,2
soigod,soigo,2
sidwalk,hous,2
someon,john,2
someon,men,2
sidewalk,school,2
sidewalk,rock,2
someth,coffe,2
sidewalk,platform,2
someth,item,2
snack,convers,2
sidewalk,curb,2
someth,soup,2
someth,tv,2
sidewalk,bicycl,2
someth,water,2
shower,mirror,2
speaker,desk,2
speed,dusk,2
spice,sink,2
shop,guest,2
shop,build,2
snow,lake,2
sign,scene,2
shoe,backpack,2
sink,scene,2
sit,swim,2
skin,box,2
sip,plastic,2
sink,wall,2
slope,highway,2
sink,toilet,2
sink,tile,2
slope,lake,2
slope,lift,2
sink,sink,2
sink,shower,2
smile,line,2
sign,screen,2
sink,cliff,2
smile,ride,2
singk,root,2
silver,polic,2
silver,appl,2
signal,sign,2
sign,watch,2
sign,tree,2
sign,street,2
smile,stare,2
sign,sticker,2
shoe,helicopt,2
split,bowl,2
road,fenc,2
rock,eleph,2
room,window,2
room,restaur,2
spot,man,2
rooftop,wall,2
roof,area,2
roller,shop,2
rock,tree,2
rock,line,2
rock,left,2
spot,market,2
spot,tree,2
roadsid,campu,2
rug,mattress,2
spring,invest,2
road,trail,2
road,sidewalk,2
road,river,2
road,paper,2
squar,street,2
road,mound,2
road,lot,2
stack,bag,2
stall,bowl,2
road,fire,2
row,field,2
rug,shelf,2
spoon,banana,2
sedan,truck,2
shirt,dress,2
shirt,coat,2
shipyard,boat,2
ship,mile,2
shelf,tabl,2
shelf,light,2
sheep,hors,2
sheep,cow,2
spoon,doll,2
semi,food,2
selfi,photo,2
seat,roof,2
runway,flight,2
seat,mirror,2
seaplan,boat,2
sea,turtl,2
scooter,vest,2
scooter,ball,2
scissor,glass,2
sport,orang,2
scene,sink,2
sat,chair,2
sandwich,slice,2
sport,patrol,2
pink,t,2
pillow,blanket,2
man,farmer,2
mountain,farm,2
tin,bottom,2
muscl,breast,2
multi,rainbow,2
mud,rain,2
mous,window,2
mous,webcam,2
mous,phone,2
toddler,child,2
toddler,man,2
mous,comput,2
toilet,bed,2
mountain,cow,2
nearbi,deer,2
motorcyclist,peopl,2
toilet,bowl,2
motorcycl,taxi,2
motorcycl,peopl,2
toilet,chair,2
toilet,man,2
motorbik,motorcycl,2
motor,dirt,2
motif,live,2
monorail,train,2
monitor,tv,2
nap,nap,2
night,dusk,2
toilet,tabl,2
ocean,pacif,2
orang,dozen,2
orang,cider,2
orang,approach,2
orang,apart,2
orang,amtrak,2
tie,scarf,2
onlook,children,2
one,girl,2
offic,write,2
ocean,street,2
tie,tattoo,2
ocean,night,2
night,sunset,2
ocean,mediterranean,2
ocean,lighthous,2
ocean,desert,2
tile,home,2
obstacl,alley,2
object,monkey,2
object,balloon,2
number,pair,2
notebook,pencil,2
nose,muzzl,2
nose,back,2
monitor,tablet,2
tomato,avocado,2
tie,pant,2
ski,snow,2
meal,meat,2
town,florida,2
meal,chicken,2
meal,box,2
materi,gold,2
match,cigarett,2
mat,leash,2
mark,tree,2
mari,birth,2
map,block,2
track,bridg,2
track,cross,2
town,field,2
man,tree,2
track,street,2
man,rider,2
track,truck,2
man,pitcher,2
man,pictur,2
traffic,street,2
trail,road,2
man,hors,2
trailer,cart,2
trailer,photo,2
meat,mac,2
men,children,2
tomato,food,2
microwav,sink,2
monitor,it,2
monitor,consol,2
monitor,comput,2
tomato,plate,2
tongu,hand,2
toothbrush,bowl,2
mirror,toilet,2
toothbrush,light,2
mile,street,2
toothpast,paint,2
top,blanket,2
mice,chair,2
men,dog,2
torso,hors,2
tournament,ball,2
meter,sign,2
towel,blanket,2
meter,garag,2
towel,trim,2
tower,bridg,2
men,player,2
men,man,2
tower,stand,2
tower,wall,2
orang,gold,2
tie,heart,2
piec,doll,2
tabl,bench,2
suppli,devic,2
surf,paddl,2
peopl,walk,2
surfac,tabl,2
peopl,someon,2
peopl,resid,2
surfboard,rock,2
sweat,blood,2
peopl,offic,2
swim,sit,2
sword,tiger,2
peopl,hous,2
sun,field,2
tabl,fireplac,2
tabl,ground,2
tabl,lunch,2
peopl,groceri,2
tabl,plate,2
peopl,eleph,2
tabl,tree,2
penguin,tree,2
tabl,tv,2
tail,head,2
tape,foam,2
sunset,sunris,2
person,chair,2
tape,tape,2
stuff,graffiti,2
street,school,2
street,traffic,2
street,train,2
streetcar,van,2
stuf,babi,2
pictur,car,2
pictur,breath,2
pictur,bed,2
stuf,furri,2
photo,screenshot,2
photo,scene,2
photo,bridg,2
person,dog,2
phonebooth,car,2
style,wine,2
couch,chair,2
phone,door,2
phone,batteri,2
person,waiter,2
person,teacher,2
subway,area,2
subway,train,2
suit,book,2
suit,trench,2
pen,flower,2
pear,book,2
orang,steam,2
paint,row,2
tenni,golf,2
paperwork,book,2
pant,boot,2
panel,podium,2
panel,floor,2
tent,sand,2
pan,tabl,2
pan,plate,2
pair,herd,2
termin,stop,2
terrain,night,2
thig,chair,2
parachut,boat,2
paddl,roll,2
packag,metal,2
thing,mous,2
pack,look,2
overcast,window,2
oven,basement,2
outdoor,oval,2
other,houston,2
thing,tool,2
tiara,heart,2
orang,tree,2
papia,burnt,2
parallel,truck,2
peanut,strawberri,2
passeng,steam,2
pavement,park,2
pavement,campu,2
path,highway,2
pastri,sandwich,2
pastri,pizza,2
team,desert,2
pastri,cooki,2
pasta,fruit,2
tee,shirt,2
passeng,to,2
televis,camera,2
passeng,miniatur,2
park,bar,2
passang,passeng,2
pass,manhattan,2
pass,bridg,2
televis,desk,2
televis,internet,2
park,playground,2
televis,printer,2
park,forest,2
televis,screen,2
park,citi,2
televis,toilet,2
phone,printer,2
accent,lawn,2
build,intersect,2
blanket,couch,2
commut,pass,2
book,someth,2
commut,subway,2
blue,steam,2
buse,pedestrian,2
book,top,2
book,toy,2
clock,basement,2
cement,stage,2
beach,hill,2
car,bu,2
book,zoo,2
area,pool,2
bicycl,ga,2
booth,lot,2
competit,rink,2
ball,footbal,2
ball,hous,2
cellphon,sunday,2
blue,model,2
bicycl,motorcycl,2
art,graffiti,2
bicycl,couch,2
bicycl,truck,2
car,area,2
calcul,desk,2
baggag,food,2
book,hat,2
clock,column,2
asleep,sit,2
burner,kettl,2
chain,python,2
beach,dirt,2
comfort,couch,2
beach,edg,2
build,field,2
balconi,balconi,2
build,fenc,2
bicycl,trailer,2
blurri,blue,2
buse,car,2
clock,clock,2
ball,astro,2
cake,tabl,2
buffalo,cow,2
comput,bodi,2
brown,yellow,2
balloon,chair,2
appl,children,2
appl,chair,2
appl,burger,2
beach,pool,2
bush,us,2
comput,phone,2
bu,man,2
bu,light,2
car,peopl,2
children,women,2
bottl,hand,2
chilli,steak,2
bouquet,pile,2
comput,rock,2
comput,screen,2
cake,gift,2
beach,sea,2
chip,warn,2
anim,tree,2
comput,wing,2
children,player,2
class,lamp,2
comput,chair,2
applianc,equip,2
comput,core,2
child,friend,2
area,bridg,2
area,alley,2
arden,wall,2
bush,cairo,2
bucket,sink,2
cellphon,hand,2
car,helicopt,2
child,woman,2
ball,volleybal,2
children,friend,2
clay,court,2
appl,onion,2
cell,silver,2
appl,light,2
bucket,carpet,2
blue,desert,2
beverag,self,2
bu,train,2
build,hill,2
calf,bear,2
asphalt,street,2
backyard,field,2
coffe,coffe,2
cloth,flower,2
coffe,dine,2
back,dark,2
backpack,glove,2
babi,son,2
charter,school,2
boat,ship,2
babi,male,2
babi,girl,2
bun,turn,2
chair,grass,2
cloth,candl,2
cheek,head,2
board,park,2
canopi,bunk,2
bathroom,video,2
chair,fireplac,2
chair,famili,2
batter,boy,2
build,walmart,2
chair,stove,2
chair,beach,2
camera,tv,2
bathroom,front,2
boat,bike,2
cloudi,night,2
boat,build,2
background,river,2
bun,bowl,2
boat,fork,2
buld,church,2
chair,vehicl,2
champagn,wine,2
background,field,2
background,girl,2
boat,hors,2
build,window,2
backpack,bench,2
bird,eleph,2
coastlin,lake,2
coat,suit,2
coat,uniform,2
chair,suit,2
backyard,garag,2
batter,catcher,2
build,sign,2
atm,truck,2
chair,cart,2
bay,harbor,2
build,museum,2
chair,box,2
bidet,toilet,2
clock,man,2
build,light,2
bay,river,2
bite,egg,2
board,board,2
boat,tree,2
colli,guard,2
clock,it,2
canyon,canyon,2
bunt,chocol,2
book,glass,2
color,button,2
color,kind,2
build,hotel,2
color,part,2
cheesi,ham,2
collag,build,2
birthday,wed,2
chair,chair,2
bunch,pair,2
build,school,2
batter,handl,2
babi,boy,2
clock,window,2
camera,distanc,2
clock,squar,2
bag,bag,2
babi,blond,2
coffe,plastic,2
chair,classroom,2
build,pond,2
batter,man,2
batter,pitcher,2
bird,sheep,2
coffe,tea,2
clock,sofa,2
bird,water,2
bike,motorcycl,2
bruis,cream,2
bottl,cub,2
anim,pig,2
carrot,bone,2
boy,peopl,2
bed,blood,2
bowl,truck,2
carpet,bed,2
bleacher,courthous,2
citi,shuttl,2
bridg,bridg,2
bench,it,2
advertis,photo,2
banana,leav,2
airplan,bird,2
boy,kid,2
bed,carpet,2
butterfli,bead,2
box,dump,2
bed,rock,2
basebal,basketbal,2
bow,dress,2
bench,river,2
adult,orang,2
basebal,oriol,2
contain,cup,2
bar,passeng,2
banana,chicken,2
card,map,2
bed,ground,2
cafeteria,hous,2
church,cemeteri,2
blender,jar,2
airplan,lear,2
brick,apart,2
citi,town,2
cooler,chair,2
airplan,helicopt,2
cake,bean,2
airplan,airplan,2
cop,men,2
bench,bridg,2
citi,neighborhood,2
blender,cigarett,2
cabin,farm,2
citi,hill,2
cage,field,2
bench,bike,2
cat,cat,2
cage,video,2
blond,babi,2
citi,mall,2
cat,bird,2
bed,glass,2
block,cup,2
cage,herd,2
bench,beach,2
bench,boat,2
bench,build,2
cat,ground,2
bed,floor,2
air,video,2
bench,fenc,2
box,game,2
citi,seattl,2
bed,comput,2
case,consol,2
case,holster,2
air,stand,2
bench,desk,2
cooki,seat,2
air,orang,2
button,sign,2
bed,dorm,2
convent,meet,2
bank,street,2
bowl,pot,2
brick,garden,2
corner,tree,2
cone,fenc,2
bowl,pool,2
alley,garden,2
bread,bacon,2
bend,lean,2
corner,road,2
bear,cat,2
cake,children,2
break,live,2
catcher,mound,2
citi,california,2
caboos,peopl,2
beach,tabl,2
citi,valley,2
bench,wed,2
citi,citi,2
bowl,glass,2
alleyway,area,2
alter,sea,2
anim,bear,2
beer,drink,2
blanket,paint,2
bar,tabl,2
condiment,other,2
catcher,manag,2
cake,dress,2
cafe,barbecu,2
breakfast,lunch,2
cake,cooki,2
berri,candl,2
bread,dish,2
bowl,contain,2
bowl,bottl,2
couch,bench,2
beach,street,2
adult,man,2
car,shop,2
brown,cat,2
couch,book,2
cattl,anim,2
bust,back,2
bar,restaur,2
bear,man,2
cord,dryer,2
cathedr,church,2
contain,bowl,2
bow,plate,2
bedspread,blanket,2
action,train,2
bridg,stop,2
anim,doll,2
bear,cub,2
corner,citi,2
broccoli,wood,2
basebal,soccer,2
branch,rock,2
bridg,track,2
blanket,tabl,2
bar,supermarket,2
carrot,rice,2
cone,rail,2
broccoli,veget,2
busi,street,2
cone,wall,2
sheep,goat,1
sheep,cattl,1
bird,rock,1
sheep,fenc,1
sidewalk,subdivis,1
sheep,cat,1
selfi,photograph,1
sign,flag,1
sidewalk,track,1
blender,plate,1
semi,car,1
sign,build,1
sign,book,1
sign,button,1
sign,bar,1
bird,mous,1
blender,refriger,1
sign,bag,1
sightse,school,1
sigh,sign,1
