Unnamed: 0,index,caption_1,caption_2,filename,type,image_id,source_file,destination_file,label_1,label_2,label_3,label,correct
10,2643,A view of a bathroom in what appears to be a hotel.,A view of a room in what appears to be a hotel.,9772_4,original,10,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/origin_images/9772_4.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/10.jpg,caption_1,caption_1,caption_1,caption_1,correct
11,12912,a painting of a row of white horses walking in a line along a stream.,a painting of a row of white horses walking in a line along a road.,267933_1,counterfactual,11,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/counter_images/267933_1.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/11.jpg,caption_2,caption_2,caption_1,caption_2,correct
12,10809,PERFORMERS DOING A SHOW IN FRONT OF SPECTATORS,MEN DOING A SHOW IN FRONT OF SPECTATORS,279927_4,counterfactual,12,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/counter_images/279927_4.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/12.jpg,caption_2,caption_2,caption_2,caption_2,correct
13,7946,A man covered in blood trying to destroy a fire hydrant.,A man covered in flames trying to destroy a fire hydrant.,566923_1,counterfactual,13,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/counter_images/566923_1.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/13.jpg,caption_2,caption_2,caption_2,caption_2,correct
14,11700,A big boat full of a lot of people.,A big boat full of a lot of money.,186873_3,counterfactual,14,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/counter_images/186873_3.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/14.jpg,neither,neither,neither,caption_2,neither
15,9677,A cow is standing on a street corner.,A cow is standing on a street sign.,334555_2,counterfactual,15,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/counter_images/334555_2.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/15.jpg,caption_2,caption_2,caption_2,caption_2,correct
16,9041,A brown teddy bear sitting in a red chair.,A brown teddy bear sitting in a red blanket.,44068_0,counterfactual,16,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/counter_images/44068_0.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/16.jpg,caption_2,caption_2,caption_2,caption_2,correct
17,9803,Three cats are napping on the carpeted floor.,Three dogs are napping on the carpeted floor.,187236_4,original,17,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/origin_images/187236_4.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/17.jpg,caption_1,caption_1,caption_1,caption_1,correct
18,4714,A day time view of a narrow street in a city,A night time view of a narrow street in a city,476491_4,counterfactual,18,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/counter_images/476491_4.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/18.jpg,caption_2,caption_2,caption_2,caption_2,correct
19,7775,Two giraffes that are standing in the grass.,Two giraffes that are standing in the road.,285788_0,original,19,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/origin_images/285788_0.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/19.jpg,caption_1,caption_1,caption_1,caption_1,correct
20,15717,A person taking a picture with a cell phone of them and a dog in a mirror.,A person taking a picture with a cell phone of them and a reflection in a mirror.,421455_2,original,20,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/origin_images/421455_2.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/20.jpg,caption_1,caption_1,caption_1,caption_1,correct
21,24138,A white plate topped with meat veggies and rice with sauce.,A white bean topped with meat veggies and rice with sauce.,66817_0,counterfactual,21,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/counter_images/66817_0.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/21.jpg,caption_2,caption_2,caption_2,caption_2,correct
22,22055,a desk with a laptop and holding a disc,a desk with a laptop and holding a computer,181499_3,original,22,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/origin_images/181499_3.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/22.jpg,caption_1,caption_1,caption_1,caption_1,correct
23,12488,A ballplayer on deck practicing for his turn at bat,A ballplayer on deck waits for his turn at bat,398028_0,original,23,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/origin_images/398028_0.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/23.jpg,caption_1,caption_1,caption_1,caption_1,correct
24,6262,A few sheep are eating some grass near the water. ,A few sheep are eating some grass near the road.,340272_3,original,24,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/origin_images/340272_3.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/24.jpg,caption_1,caption_1,caption_1,caption_1,correct
25,12892,A group of people riding motorcycles and horses on a race track.,A group of people riding motorcycles and horses on a dirt track.,141671_1,counterfactual,25,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/counter_images/141671_1.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/25.jpg,caption_2,caption_2,neither,caption_2,correct
26,17810,A person on a surfboard high up over the water.,A boy on a surfboard high up over the water.,275058_3,counterfactual,26,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/counter_images/275058_3.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/26.jpg,caption_2,caption_2,neither,caption_2,correct
27,17926,A woman holding a red book in her hand while sitting on a bed. ,A woman holding a red book in her hand while sitting on a bench.,551439_4,original,27,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/origin_images/551439_4.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/27.jpg,caption_1,caption_1,caption_1,caption_1,correct
28,14567,The large bear is walking on a boulder.,The large bear is walking on a trail.,375015_3,counterfactual,28,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/counter_images/375015_3.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/28.jpg,caption_2,caption_2,both,caption_2,correct
29,14141,a person behind a stand with many oranges,a woman behind a stand with many oranges,366711_1,counterfactual,29,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/counter_images/366711_1.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/29.jpg,caption_2,caption_2,caption_2,caption_2,correct
30,2619,A bus stuck in traffic on a busy highway.,A car stuck in traffic on a busy highway.,17207_0,original,30,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/origin_images/17207_0.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/30.jpg,caption_1,caption_1,caption_2,caption_1,correct
31,23344,A young boy wearing his baseball uniform with his bat in his hands,A young boy wearing his baseball uniform with his head in his hands,514586_2,counterfactual,31,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/counter_images/514586_2.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/31.jpg,caption_2,caption_2,neither,caption_2,correct
32,18172,Two women stand over a table with a cake cut into pieces.,Two guys stand over a table with a cake cut into pieces.,517056_3,original,32,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/origin_images/517056_3.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/32.jpg,caption_1,caption_1,neither,caption_1,correct
33,14278,A purple shelf withs bunches of ripe yellow bananas placed together.,A purple flower withs bunches of ripe yellow bananas placed together.,28809_2,counterfactual,33,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/counter_images/28809_2.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/33.jpg,caption_2,caption_2,caption_2,caption_2,correct
34,19463,A man who is on a skateboard on a ramp.,A person who is on a skateboard on a ramp.,257084_4,counterfactual,34,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/counter_images/257084_4.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/34.jpg,caption_1,caption_1,both,caption_2,incorrect
35,1513,A man standing by a motor cycle on a street.,A man standing by a motor vehicle on a street.,481567_3,original,35,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/origin_images/481567_3.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/35.jpg,caption_1,caption_1,caption_1,caption_1,correct
36,12111,a teenager attempting a jump on his skateboard,a boy attempting a jump on his skateboard,438907_1,original,36,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/origin_images/438907_1.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/36.jpg,caption_2,caption_2,caption_2,caption_1,incorrect
37,3791,a view of a kitchen from across the room.,a view of a kitchen from across the street.,525083_0,counterfactual,37,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/counter_images/525083_0.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/37.jpg,caption_2,caption_1,caption_2,caption_2,correct
38,3716,An airplane with wheels wheels barely off ground tilted slightly upward from the pavement to the blue sky.,An automobile with wheels wheels barely off ground tilted slightly upward from the pavement to the blue sky.,488270_0,original,38,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/origin_images/488270_0.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/38.jpg,caption_1,caption_1,caption_1,caption_1,correct
39,23517,Large brick building with towers and clocks in daytime.,Large brick building with towers and columns in daytime.,526256_0,counterfactual,39,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/counter_images/526256_0.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/39.jpg,caption_2,caption_2,neither,caption_2,correct
40,20507,Two woman are sitting on a passenger train.,Two people are sitting on a passenger train.,78170_1,original,40,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/origin_images/78170_1.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/40.jpg,caption_1,caption_1,caption_1,caption_1,correct
41,12263,A group of guys playing a game on a field,A group of people playing a game on a field,130699_4,counterfactual,41,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/counter_images/130699_4.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/41.jpg,caption_1,caption_1,caption_1,caption_2,incorrect
42,24372,A group of older people around a long restaurant table.,A group of older people around a long wooden table.,31296_0,counterfactual,42,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/counter_images/31296_0.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/42.jpg,caption_2,both,caption_2,caption_2,correct
43,4259,A large clock tower with a statue on the top.,A large clock tower with a clock on the top.,519491_3,original,43,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/origin_images/519491_3.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/43.jpg,caption_2,caption_2,caption_2,caption_1,incorrect
44,9075,A brown bear walking with rocks in the background.,A brown dog walking with rocks in the background.,361180_0,counterfactual,44,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/counter_images/361180_0.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/44.jpg,caption_2,caption_2,caption_2,caption_2,correct
45,5314,A bus traveling on a road next to cars with building in background.,A bus traveling on a road next to house with building in background.,274272_1,counterfactual,45,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/counter_images/274272_1.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/45.jpg,caption_2,caption_2,caption_2,caption_2,correct
46,8281,One cow standing and one laying down within a fence.,One cow standing and one laying down within a field.,124636_1,counterfactual,46,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/counter_images/124636_1.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/46.jpg,neither,neither,neither,caption_2,neither
47,23333,A woman jumping in the air on the tennis court,A player jumping in the air on the tennis court,182923_1,original,47,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/origin_images/182923_1.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/47.jpg,caption_1,caption_1,caption_1,caption_1,correct
48,10411,a man walks behind an ice cream truck ,a man walks behind an ice cream van,393226_2,original,48,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/origin_images/393226_2.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/48.jpg,caption_2,caption_2,caption_2,caption_1,incorrect
49,882,A man sitting on one of a group of motorcycles.,A boy sitting on one of a group of motorcycles.,491090_0,original,49,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/origin_images/491090_0.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/49.jpg,caption_1,caption_1,caption_1,caption_1,correct
50,13031,Two people in red robes sitting on two horses.,Two men in red robes sitting on two horses.,303499_3,counterfactual,50,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/counter_images/303499_3.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/50.jpg,caption_2,caption_2,neither,caption_2,correct
51,4745,a red and white bus and some cars in the rain,a red and white bus and some cars in the background,84170_0,original,51,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/origin_images/84170_0.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/51.jpg,caption_1,caption_1,caption_1,caption_1,correct
52,9159,Standing suit cases being stored in a room.,Standing glass cases being stored in a room.,115245_4,counterfactual,52,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/counter_images/115245_4.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/52.jpg,caption_2,caption_2,caption_2,caption_2,correct
53,19539,a man that is eating some kind of piece of cake,a person that is eating some kind of piece of cake,47801_2,counterfactual,53,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/counter_images/47801_2.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/53.jpg,caption_2,caption_2,caption_2,caption_2,correct
54,15836,Too zebras stand together near a wooded area.,Too zebras stand together near a wooded bridge.,504439_3,original,54,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/origin_images/504439_3.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/54.jpg,caption_1,caption_1,caption_1,caption_1,correct
55,15533,A picture of a fruit with its shell peeled.,A picture of a banana with its shell peeled.,347370_3,counterfactual,55,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/counter_images/347370_3.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/55.jpg,caption_2,caption_2,caption_2,caption_2,correct
56,15506,fish and broccoli plated neatly on a dish sitting on a table ,fish and shrimp plated neatly on a dish sitting on a table,191580_1,original,56,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/origin_images/191580_1.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/56.jpg,caption_1,caption_1,caption_1,caption_1,correct
57,10874,A view of a man wearing a casual shirt and tie.,A silhouette of a man wearing a casual shirt and tie.,67315_3,original,57,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/origin_images/67315_3.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/57.jpg,caption_1,caption_1,caption_2,caption_1,correct
58,228,a bathroom with a toilet a sink and a shower,a bathroom with a tub a sink and a shower,453634_3,original,58,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/origin_images/453634_3.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/58.jpg,caption_1,caption_1,neither,caption_1,correct
59,7885,"An old fire hydrant with a bicycle tire on the ground around it, on the side of a road.","An old water hydrant with a bicycle tire on the ground around it, on the side of a road.",152465_4,original,59,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/origin_images/152465_4.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/59.jpg,both,both,neither,caption_1,both
60,512,a small plane taking off from a run way in mid air,a small jet taking off from a run way in mid air,575205_4,original,60,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/origin_images/575205_4.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/60.jpg,caption_1,caption_1,caption_1,caption_1,correct
61,27,Grey house cat devours a song bird on a door step,Grey house spider devours a song bird on a door step,46378_2,original,61,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/origin_images/46378_2.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/61.jpg,caption_1,caption_1,neither,caption_1,correct
62,19209,A young child standing in front of a TV holding a Wii controller.,A young man standing in front of a TV holding a Wii controller.,575081_1,counterfactual,62,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/counter_images/575081_1.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/62.jpg,caption_2,caption_2,caption_2,caption_2,correct
63,15523,A group of people standing on the side of a road.,A group of men standing on the side of a road.,537506_3,original,63,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/origin_images/537506_3.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/63.jpg,caption_1,caption_1,neither,caption_1,correct
64,2712,Cars parked on the side of a street. , car parked on the side of a street.,227511_3,original,64,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/origin_images/227511_3.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/64.jpg,caption_1,caption_1,caption_1,caption_1,correct
65,785,A black cat sits in a car and looks out.,A black cat sits in a window and looks out.,107087_0,counterfactual,65,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/counter_images/107087_0.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/65.jpg,caption_2,caption_2,caption_2,caption_2,correct
66,11441,The freight train is painted orange and yellow. ,The subway train is painted orange and yellow.,30675_4,counterfactual,66,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/counter_images/30675_4.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/66.jpg,caption_2,caption_2,caption_2,caption_2,correct
67,21048,A man flying a kite at the beach near the ocean,A man flying a kite at the beach near the city,577959_4,original,67,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/origin_images/577959_4.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/67.jpg,caption_1,caption_1,caption_1,caption_1,correct
68,1619,A wooden table with two chairs next to a sink.,A wooden table with two chairs next to a table.,186980_0,counterfactual,68,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/counter_images/186980_0.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/68.jpg,caption_2,caption_2,caption_2,caption_2,correct
69,24506,Three stuffed bears wearing clothes riding on a sled.,Three stuffed dogs wearing clothes riding on a sled.,537802_3,counterfactual,69,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/counter_images/537802_3.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/69.jpg,caption_2,neither,neither,caption_2,correct
70,7041,A white and green rusted fire hydrant spewing out frozen water.,A white and green rusted metal hydrant spewing out frozen water.,390301_0,counterfactual,70,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/counter_images/390301_0.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/70.jpg,caption_1,caption_1,neither,caption_2,incorrect
71,6150,A large bus on the side of a street.,A large bus on the side of a highway.,42070_1,counterfactual,71,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/counter_images/42070_1.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/71.jpg,caption_2,caption_2,caption_2,caption_2,correct
72,10544,The woman is looking at the elephant in amazement. ,The girl is looking at the elephant in amazement.,106757_2,counterfactual,72,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/counter_images/106757_2.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/72.jpg,caption_2,caption_2,caption_2,caption_2,correct
73,13787,Skateboard rider doing a trick near a beach during sunset.,Skateboard riders doing a trick near a beach during sunset.,439854_4,original,73,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/origin_images/439854_4.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/73.jpg,caption_1,caption_1,caption_1,caption_1,correct
74,8138,A brindle and a grey and white dog playing on grass,A brindle and a grey and white dog sit on grass,89880_3,original,74,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/origin_images/89880_3.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/74.jpg,caption_1,caption_1,caption_1,caption_1,correct
75,14027,Herd of zebra grazing on dried grasses in open field.,Herd of zebra grazing on dried corn in open field.,508586_0,original,75,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/origin_images/508586_0.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/75.jpg,caption_1,caption_1,caption_1,caption_1,correct
76,20985,An abandoned refrigerator next to a building with a window.,An abandoned refrigerator next to a building with a garage.,536947_0,counterfactual,76,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/counter_images/536947_0.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/76.jpg,caption_2,caption_1,caption_2,caption_2,correct
77,350,Two people are riding a motorcycle on the beach.,Two men are riding a motorcycle on the beach.,102411_3,original,77,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/origin_images/102411_3.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/77.jpg,caption_1,caption_1,caption_1,caption_1,correct
78,23445,A woman is standing on a tennis court with a racket.,A player is standing on a tennis court with a racket.,90284_1,counterfactual,78,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/counter_images/90284_1.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/78.jpg,caption_2,caption_2,caption_2,caption_2,correct
79,16381,A living room filled with two leather couches on a hard wood floor.,A dining room filled with two leather couches on a hard wood floor.,128148_1,counterfactual,79,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/counter_images/128148_1.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/79.jpg,caption_2,caption_2,neither,caption_2,correct
80,13797,A couple at a wedding cutting their wedding cake together.,A couple at a wedding cutting their wedding dress together.,398438_4,counterfactual,80,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/counter_images/398438_4.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/80.jpg,caption_2,caption_2,neither,caption_2,correct
81,2460,A book about understanding and maintaining a ten-speed bicycle.,A video about understanding and maintaining a ten-speed bicycle.,251140_0,original,81,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/origin_images/251140_0.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/81.jpg,caption_1,caption_1,caption_1,caption_1,correct
82,1512,An older man is standing beside a red motorcycle.,An older woman is standing beside a red motorcycle.,481567_2,counterfactual,82,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/counter_images/481567_2.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/82.jpg,caption_2,caption_2,caption_2,caption_2,correct
83,22916,a couple of women stand in a video game booth ,a couple of women stand in a video game store,357978_4,counterfactual,83,/export/share/projects/mcai/counterfactual_tile/instruct-pix2pix/images_slurm/counter_images/357978_4.jpg,/export/share/projects/mcai/counterfactuals_2/output/data_for_annotation/images/83.jpg,caption_2,caption_2,caption_2,caption_2,correct
